id,metodo_pago,comsion_porcentaje_base,comision_fija_monto,num_msi,comision_msi_porcentaje,orden,status,createdAt,updatedAt
cm41r1whx0000j1l1k6hpbdwb,Efectivo,NULL,NULL,NULL,NULL,0,active,1732824644037,1733279904789
cm41ra2520001j1l1f7cc5kc7,TC/TD,3.6,3.0,NULL,NULL,1,active,1732825024598,1733336698129
cm41re0dx0002j1l1x1x1oguu,3 MSI,3.6,3.0,3,5.0,2,active,1732825208950,1732990091564
cm41rf0t60003j1l1gxkw2dxq,6 MSI,3.6,3.0,6,7.5,3,active,1732825256154,1732990091564
cm41rhlyq0004j1l1472fi64u,9 MSI,3.6,3.0,9,10.0,4,active,1732825376882,1732990091564
cm41ri8gl0005j1l1f0ex2xrm,12 MSI,3.6,3.0,12,12.5,5,active,1732825406037,1732990091564
cm41risst0006j1l1y42imtxx,OXXO,3.6,3.0,NULL,NULL,6,active,1732825432397,1732990091564
cm41rj66n0007j1l1bd5601p0,SPEI,NULL,7.0,NULL,NULL,7,active,1732825449743,1733280758137
